lpips_row_id,lpips_case_id,restoration_case_id,source_case_id,case_id,dataset_name,painting_id,category,title,artist,style,model_name,mask_type,mask_id,is_zero_control,evaluation_region,region_pixel_count,mask_area_pixels,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,lpips_input_size,status,issue
lama__canonical__canonical__p001_loss_large__content_region__lpips,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,canonical__p001_loss_large,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,loss_large,p001_loss_large,False,content_region,509184,69018,0.330649,0.079538,0.251112,alex,256,ok,
lama__canonical__canonical__p001_loss_large__full_image__lpips,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,canonical__p001_loss_large,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,loss_large,p001_loss_large,False,full_image,589824,69018,0.301122,0.069938,0.231184,alex,256,ok,
lama__canonical__canonical__p001_loss_large__mask_bbox_crop__lpips,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,canonical__p001_loss_large,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,loss_large,p001_loss_large,False,mask_bbox_crop,198025,69018,0.637281,0.186008,0.451273,alex,256,ok,
lama__canonical__canonical__p001_loss_small__content_region__lpips,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,canonical__p001_loss_small,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,loss_small,p001_loss_small,False,content_region,509184,18239,0.319489,0.003472,0.316017,alex,256,ok,
lama__canonical__canonical__p001_loss_small__full_image__lpips,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,canonical__p001_loss_small,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,loss_small,p001_loss_small,False,full_image,589824,18239,0.307002,0.003348,0.303654,alex,256,ok,
lama__canonical__canonical__p001_loss_small__mask_bbox_crop__lpips,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,canonical__p001_loss_small,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,loss_small,p001_loss_small,False,mask_bbox_crop,525625,18239,0.303323,0.003733,0.29959,alex,256,ok,
lama__canonical__canonical__p001_mixed_damage__content_region__lpips,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,mixed_damage,p001_mixed_damage,False,content_region,509184,45733,0.53522,0.028422,0.506798,alex,256,ok,
lama__canonical__canonical__p001_mixed_damage__full_image__lpips,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,mixed_damage,p001_mixed_damage,False,full_image,589824,45733,0.504022,0.024102,0.479921,alex,256,ok,
lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__lpips,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,mixed_damage,p001_mixed_damage,False,mask_bbox_crop,589824,45733,0.504022,0.024102,0.479921,alex,256,ok,
lama__canonical__canonical__p001_scratch_thin__content_region__lpips,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,scratch_thin,p001_scratch_thin,False,content_region,509184,12058,0.558222,0.001904,0.556318,alex,256,ok,
lama__canonical__canonical__p001_scratch_thin__full_image__lpips,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,scratch_thin,p001_scratch_thin,False,full_image,589824,12058,0.524122,0.001695,0.522427,alex,256,ok,
lama__canonical__canonical__p001_scratch_thin__mask_bbox_crop__lpips,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,scratch_thin,p001_scratch_thin,False,mask_bbox_crop,589824,12058,0.524122,0.001695,0.522427,alex,256,ok,
lama__canonical__canonical__p001_zero_control__content_region__lpips,lama__canonical__canonical__p001_zero_control,lama__canonical__canonical__p001_zero_control,canonical__p001_zero_control,canonical__p001_zero_control,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,zero_control,p001_zero_control,True,content_region,509184,0,0.0,0.0,0.0,alex,256,ok,
lama__canonical__canonical__p001_zero_control__full_image__lpips,lama__canonical__canonical__p001_zero_control,lama__canonical__canonical__p001_zero_control,canonical__p001_zero_control,canonical__p001_zero_control,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,zero_control,p001_zero_control,True,full_image,589824,0,0.0,0.0,0.0,alex,256,ok,
lama__canonical__canonical__p002_loss_large__content_region__lpips,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,canonical__p002_loss_large,canonical__p002_loss_large,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,loss_large,p002_loss_large,False,content_region,344832,37439,0.212222,0.063826,0.148396,alex,256,ok,
lama__canonical__canonical__p002_loss_large__full_image__lpips,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,canonical__p002_loss_large,canonical__p002_loss_large,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,loss_large,p002_loss_large,False,full_image,589824,37439,0.13714,0.041103,0.096037,alex,256,ok,
lama__canonical__canonical__p002_loss_large__mask_bbox_crop__lpips,lama__canonical__canonical__p002_loss_large,lama__canonical__canonical__p002_loss_large,canonical__p002_loss_large,canonical__p002_loss_large,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,loss_large,p002_loss_large,False,mask_bbox_crop,91204,37439,0.578941,0.213202,0.365739,alex,256,ok,
lama__canonical__canonical__p002_loss_small__content_region__lpips,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,canonical__p002_loss_small,canonical__p002_loss_small,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,loss_small,p002_loss_small,False,content_region,344832,18776,0.316159,0.004666,0.311493,alex,256,ok,
lama__canonical__canonical__p002_loss_small__full_image__lpips,lama__canonical__canonical__p002_loss_small,lama__canonical__canonical__p002_loss_small,canonical__p002_loss_small,canonical__p002_loss_small,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,19th century portraiture,lama,loss_small,p002_loss_small,False,full_image,589824,18776,0.219618,0.002513,0.217105,alex,256,ok,
