case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement
p001_loss_large,p001,p001_loss_large,loss_large,portrait_figure,Juan de Pareja,48015.95104980469,16.981298687118507,,48703.6318359375,22.215740318555344,,48133.03063964844,17.532739743795705,,lama,lama,no_valid_values
p001_loss_small,p001,p001_loss_small,loss_small,portrait_figure,Juan de Pareja,46962.81076812744,31.5765155885504,,46980.14071369171,34.85685238522643,,46912.75653839111,27.54322588719374,,lama,lama,no_valid_values
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,portrait_figure,Juan de Pareja,50520.93118286133,23.63391920787114,,50444.49594116211,22.337665877820644,,49826.72888183594,17.444243467566327,,opencv_telea,opencv_telea,no_valid_values
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,portrait_figure,Juan de Pareja,48335.43656921387,24.47466047771981,,48363.67512512207,25.24811209532254,,42301.111328125,8.929055695455837,,lama,lama,no_valid_values
p002_loss_large,p002,p002_loss_large,loss_large,portrait_figure,Madame X (Madame Pierre Gautreau),50914.55773925781,22.10812982221108,,51135.07902526856,27.32840589892725,,50524.24639892578,18.609613472432343,,lama,lama,no_valid_values
p002_loss_small,p002,p002_loss_small,loss_small,portrait_figure,Madame X (Madame Pierre Gautreau),45021.30486297608,27.904519937637083,,45049.86334991455,30.05762918344797,,44989.35935211182,26.32916708975248,,lama,lama,no_valid_values
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,portrait_figure,Madame X (Madame Pierre Gautreau),45717.56604003906,22.13557651455624,,45856.28631591797,25.086384284068306,,41183.26171875,9.800949758649336,,lama,lama,no_valid_values
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,portrait_figure,Madame X (Madame Pierre Gautreau),50114.38048553467,28.59980972725987,,50163.59069824219,33.98111193330545,,46487.78466796875,11.328454270204762,,lama,lama,no_valid_values
p003_loss_large,p003,p003_loss_large,loss_large,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,31275.55145263672,15.80766098306818,,31703.08990478516,18.87891408239336,,30771.634643554688,13.773152416199482,,lama,lama,no_valid_values
p003_loss_small,p003,p003_loss_small,loss_small,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,35172.7975769043,18.962072140442075,,35537.49028778076,26.08578444644366,,35236.34942626953,19.61945225122053,,lama,lama,no_valid_values
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,33403.221435546875,17.572942723362328,,33705.99609375,20.66462321554637,,33376.64929199219,17.383015593310724,,lama,lama,no_valid_values
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,36839.0802154541,23.70147340522485,,36897.11185455322,25.693306023381133,,34090.868408203125,11.048727505676538,,lama,lama,no_valid_values
p004_loss_large,p004,p004_loss_large,loss_large,portrait_figure,Madame Georges Charpentier and Her Children,34788.599853515625,12.319566460668938,,36177.7265625,16.771634854127957,,34116.811767578125,11.146485665538588,,lama,lama,no_valid_values
p004_loss_small,p004,p004_loss_small,loss_small,portrait_figure,Madame Georges Charpentier and Her Children,27384.215911865234,17.432853632394036,,27496.817810058597,18.53183702678494,,26787.91357421875,14.040409308125682,,lama,lama,no_valid_values
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,portrait_figure,Madame Georges Charpentier and Her Children,31829.676696777344,17.067575932353115,,32115.74951171875,19.652356087644552,,31158.90295410156,13.946485123434416,,lama,lama,no_valid_values
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,portrait_figure,Madame Georges Charpentier and Her Children,32575.33320617676,23.52255144631537,,32578.40739440918,23.61535806220705,,31850.838012695312,15.753555275591284,,lama,lama,no_valid_values
p005_loss_large,p005,p005_loss_large,loss_large,portrait_figure,Self-Portrait with Two Pupils,35037.200439453125,14.37125370282389,,34549.271240234375,13.01327381494895,,34622.197509765625,13.19116743432456,,opencv_telea,opencv_telea,no_valid_values
p005_loss_small,p005,p005_loss_small,loss_small,portrait_figure,Self-Portrait with Two Pupils,41530.27960205078,17.14028733325497,,41962.18518066406,20.400272239167684,,41815.07733154297,18.9986078318032,,lama,lama,no_valid_values
p005_mixed_damage,p005,p005_mixed_damage,mixed_damage,portrait_figure,Self-Portrait with Two Pupils,36603.4775390625,15.295336958959552,,36880.89025878906,16.538673340456533,,35955.15686035156,13.303817748077147,,lama,lama,no_valid_values
p005_scratch_thin,p005,p005_scratch_thin,scratch_thin,portrait_figure,Self-Portrait with Two Pupils,31126.06900024414,18.375095116100272,,31168.251190185547,18.793595398093892,,30686.05419921875,15.456346309960576,,lama,lama,no_valid_values
p006_loss_large,p006,p006_loss_large,loss_large,portrait_figure,Boy with a Sword,51838.57540893555,21.80664923810936,,52039.68061828613,25.617911017279702,,47805.2099609375,10.76291154989159,,lama,lama,no_valid_values
p006_loss_small,p006,p006_loss_small,loss_small,portrait_figure,Boy with a Sword,49780.10179138184,28.659141966841275,,49838.07105445862,37.01770779172218,,49793.97232055664,29.65219659778529,,lama,lama,no_valid_values
p006_mixed_damage,p006,p006_mixed_damage,mixed_damage,portrait_figure,Boy with a Sword,51841.33726501465,26.183701329077287,,51938.140058517456,32.63496691753353,,50689.98449707031,16.097077448480732,,lama,lama,no_valid_values
p006_scratch_thin,p006,p006_scratch_thin,scratch_thin,portrait_figure,Boy with a Sword,50997.089210510254,28.44932827615384,,51037.97666931152,32.01694612548803,,44927.53271484375,9.198183894026569,,lama,lama,no_valid_values
p007_loss_large,p007,p007_loss_large,loss_large,portrait_figure,Princesse de Broglie,28616.42529296875,12.97945453845283,,29367.071228027344,15.943782882389293,,28620.2158203125,12.990306090407833,,lama,lama,no_valid_values
p007_loss_small,p007,p007_loss_small,loss_small,portrait_figure,Princesse de Broglie,29985.666442871094,16.927126794712564,,30198.28384399414,18.747349051129685,,29702.026306152344,15.293340076659028,,lama,lama,no_valid_values
p007_mixed_damage,p007,p007_mixed_damage,mixed_damage,portrait_figure,Princesse de Broglie,29733.355834960938,12.21617987715552,,29922.595581054688,12.672104875446568,,29282.678955078125,11.29133482145457,,lama,lama,no_valid_values
p007_scratch_thin,p007,p007_scratch_thin,scratch_thin,portrait_figure,Princesse de Broglie,36727.08415222168,23.41865771248851,,36750.94657897949,24.08443938196526,,33821.682373046875,10.793600678301978,,lama,lama,no_valid_values
p008_loss_large,p008,p008_loss_large,loss_large,portrait_figure,Manuel Osorio Manrique de Zuñiga,42649.978515625,17.074773553047148,,42896.92010498047,18.558734221283565,,41299.02612304688,12.952820750477636,,lama,lama,no_valid_values
