case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,full_image,589824,0,0,768,768,67242,13.2058,11.4003,0.2640497088432312,0.04589685797691345,0.21815285086631775,alex,256,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,content_region,509184,52,0,715,768,67242,13.2058,11.4003,0.28821808099746704,0.049711763858795166,0.23850631713867188,alex,256,cuda,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,mask_bbox_crop,178929,197,314,620,737,67242,13.2058,11.4003,0.5921071767807007,0.14746947586536407,0.4446377009153366,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,full_image,589824,0,0,768,768,24198,4.7523,4.1026,0.33528822660446167,0.002392068738117814,0.33289615786634386,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,content_region,509184,52,0,715,768,24198,4.7523,4.1026,0.31892648339271545,0.0028617731295526028,0.31606471026316285,alex,256,cuda,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,mask_bbox_crop,471969,48,1,735,688,24198,4.7523,4.1026,0.34100931882858276,0.002937271725386381,0.3380720471031964,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,lama,full_image,589824,0,0,768,768,44392,8.7183,7.5263,0.41632840037345886,0.02455831877887249,0.3917700815945864,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,lama,content_region,509184,52,0,715,768,44392,8.7183,7.5263,0.43684709072113037,0.02578655257821083,0.41106053814291954,alex,256,cuda,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,44392,8.7183,7.5263,0.41632840037345886,0.02455831877887249,0.3917700815945864,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,lama,full_image,589824,0,0,768,768,8012,1.5735,1.3584,0.4253467917442322,0.005049925297498703,0.4202968664467335,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,lama,content_region,509184,52,0,715,768,8012,1.5735,1.3584,0.44158411026000977,0.0020861795637756586,0.4394979306962341,alex,256,cuda,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,lama,mask_bbox_crop,589824,0,0,768,768,8012,1.5735,1.3584,0.4253467917442322,0.005049925297498703,0.4202968664467335,alex,256,cuda,ok,
p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,lama,full_image,589824,0,0,768,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,lama,content_region,509184,52,0,715,768,0,0.0,0.0,0.0,0.0,0.0,alex,256,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,lama,full_image,589824,0,0,768,768,49705,14.4143,8.4271,0.17036934196949005,0.027647867798805237,0.14272147417068481,alex,256,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,lama,content_region,344832,159,0,608,768,49705,14.4143,8.4271,0.24802906811237335,0.0490943007171154,0.19893476739525795,alex,256,cuda,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,lama,mask_bbox_crop,129600,259,408,619,768,49705,14.4143,8.4271,0.5892032980918884,0.14096690714359283,0.4482363909482956,alex,256,cuda,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,lama,full_image,589824,0,0,768,768,19520,5.6607,3.3095,0.1489289551973343,0.00437650503590703,0.14455245016142726,alex,256,cuda,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,lama,content_region,344832,159,0,608,768,19520,5.6607,3.3095,0.22806912660598755,0.006710925605148077,0.22135820100083947,alex,256,cuda,ok,
p002_loss_small,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_small,loss_small,lama,mask_bbox_crop,570025,0,13,755,768,19520,5.6607,3.3095,0.1513971984386444,0.004507106728851795,0.14689009170979261,alex,256,cuda,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,lama,full_image,589824,0,0,768,768,42027,12.1877,7.1253,0.4236736595630646,0.021850645542144775,0.4018230140209198,alex,256,cuda,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,lama,content_region,344832,159,0,608,768,42027,12.1877,7.1253,0.48550868034362793,0.03317498415708542,0.4523336961865425,alex,256,cuda,ok,
p002_mixed_damage,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_mixed_damage,mixed_damage,lama,mask_bbox_crop,589824,0,0,768,768,42027,12.1877,7.1253,0.4236736595630646,0.021850645542144775,0.4018230140209198,alex,256,cuda,ok,
