case_id,painting_id,mask_id,mask_type,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,status,issue,lama_staged_input_path,lama_staged_mask_path,lama_staged_output_path,model_name,restoration_method,inference_mode,restored_filename,restored_path,device,batch_runtime_seconds,restored_width,restored_height,restored_mode,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,error_map_figure_path
p001_loss_large,p001,p001_loss_large,loss_large,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,white_fill,255,255,255,67242,13.2058,11.4003,ok,,outputs/tmp/lama_batch_full/input/p001_loss_large.png,outputs/tmp/lama_batch_full/mask/p001_loss_large.png,outputs/tmp/lama_batch_full/output/p001_loss_large.png,lama,iopaint_lama,model_inference,p001_loss_large_restored_lama.png,data/processed/restored/lama/p001_loss_large_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,48997.8046875,294.1728515625,48703.6318359375,219.8046417236328,9.788515090942385,210.01612663269043,1.229037386651714,23.44477770520706,22.215740318555344,0.5921071767807007,0.147469475865364,0.4446377009153366,0.8109001517295837,0.9776870012283324,0.1667868494987487,0.7064647078514099,0.9600919485092164,0.2536272406578064,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_loss_large_lama_error_maps.png
p001_loss_small,p001,p001_loss_small,loss_small,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,white_fill,255,255,255,24198,4.7523,4.1026,ok,,outputs/tmp/lama_batch_full/input/p001_loss_small.png,outputs/tmp/lama_batch_full/mask/p001_loss_small.png,outputs/tmp/lama_batch_full/output/p001_loss_small.png,lama,iopaint_lama,model_inference,p001_loss_small_restored_lama.png,data/processed/restored/lama/p001_loss_small_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,46995.5,15.359286308288574,46980.14071369171,216.0694580078125,2.889164447784424,213.18029356002808,1.4102408630948342,36.26709324832127,34.85685238522643,0.3410093188285827,0.0029372717253863,0.3380720471031964,0.9106937050819396,0.9998026490211488,0.0891089439392089,0.9489419460296632,0.9996321797370912,0.0506902337074279,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_loss_small_lama_error_maps.png
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_mixed_damage_mask.png,p001_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_mixed_damage_damaged.png,white_fill,255,255,255,44392,8.7183,7.5263,ok,,outputs/tmp/lama_batch_full/input/p001_mixed_damage.png,outputs/tmp/lama_batch_full/mask/p001_mixed_damage.png,outputs/tmp/lama_batch_full/output/p001_mixed_damage.png,lama,iopaint_lama,model_inference,p001_mixed_damage_restored_lama.png,data/processed/restored/lama/p001_mixed_damage_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,50740.69921875,296.2032775878906,50444.49594116211,224.4673767089844,8.57044792175293,215.89692878723145,1.0772391326102264,23.41490501043087,22.337665877820644,0.4163284003734588,0.0245583187788724,0.3917700815945864,0.8958069086074829,0.9981958270072936,0.1023889183998107,0.7951979041099548,0.9924310445785522,0.1972331404685974,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_mixed_damage_lama_error_maps.png
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_scratch_thin_mask.png,p001_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_scratch_thin_damaged.png,white_fill,255,255,255,8012,1.5735,1.3584,ok,,outputs/tmp/lama_batch_full/input/p001_scratch_thin.png,outputs/tmp/lama_batch_full/mask/p001_scratch_thin.png,outputs/tmp/lama_batch_full/output/p001_scratch_thin.png,lama,iopaint_lama,model_inference,p001_scratch_thin_restored_lama.png,data/processed/restored/lama/p001_scratch_thin_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,48508.5546875,144.8795623779297,48363.67512512207,217.93804931640625,6.475494861602783,211.46255445480347,1.2726202585418058,26.520732353864343,25.24811209532254,0.4253467917442322,0.0050499252974987,0.4202968664467335,0.8579663038253784,0.9996943473815918,0.1417280435562133,0.9249415397644044,0.9995376467704772,0.074596107006073,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p001_scratch_thin_lama_error_maps.png
p002_loss_large,p002,p002_loss_large,loss_large,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_large_mask.png,p002_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_large_damaged.png,white_fill,255,255,255,49705,14.4143,8.4271,ok,,outputs/tmp/lama_batch_full/input/p002_loss_large.png,outputs/tmp/lama_batch_full/mask/p002_loss_large.png,outputs/tmp/lama_batch_full/output/p002_loss_large.png,lama,iopaint_lama,model_inference,p002_loss_large_restored_lama.png,data/processed/restored/lama/p002_loss_large_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,51229.8515625,94.77253723144533,51135.07902526856,225.61866760253903,6.4565534591674805,219.1621141433716,1.0355726334957345,28.363978532422983,27.32840589892725,0.5892032980918884,0.1409669071435928,0.4482363909482956,0.7243326306343079,0.9698851108551024,0.2455524802207946,0.7628775835037231,0.9351863265037536,0.1723087430000305,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_loss_large_lama_error_maps.png
p002_loss_small,p002,p002_loss_small,loss_small,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_small_mask.png,p002_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_small_damaged.png,white_fill,255,255,255,19520,5.6607,3.3095,ok,,outputs/tmp/lama_batch_full/input/p002_loss_small.png,outputs/tmp/lama_batch_full/mask/p002_loss_small.png,outputs/tmp/lama_batch_full/output/p002_loss_small.png,lama,iopaint_lama,model_inference,p002_loss_small_restored_lama.png,data/processed/restored/lama/p002_loss_small_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,45094.36328125,44.49993133544922,45049.86334991455,211.52651977539065,3.77626371383667,207.750256061554,1.5895810166933888,31.64721020014136,30.05762918344797,0.1513971984386444,0.0045071067288517,0.1468900917097926,0.9390560388565063,0.999289095401764,0.0602330565452575,0.942081093788147,0.9970705509185792,0.0549894571304321,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_loss_small_lama_error_maps.png
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_mixed_damage_mask.png,p002_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_mixed_damage_damaged.png,white_fill,255,255,255,42027,12.1877,7.1253,ok,,outputs/tmp/lama_batch_full/input/p002_mixed_damage.png,outputs/tmp/lama_batch_full/mask/p002_mixed_damage.png,outputs/tmp/lama_batch_full/output/p002_mixed_damage.png,lama,iopaint_lama,model_inference,p002_mixed_damage_restored_lama.png,data/processed/restored/lama/p002_mixed_damage_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,45998.8828125,142.59649658203125,45856.28631591797,212.27674865722656,5.881187438964844,206.3955612182617,1.50333076887606,26.589715052944364,25.086384284068306,0.4236736595630646,0.0218506455421447,0.4018230140209198,0.8460490703582764,0.9926729202270508,0.1466238498687744,0.8311237692832947,0.9628168940544128,0.1316931247711181,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_mixed_damage_lama_error_maps.png
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_scratch_thin_mask.png,p002_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_scratch_thin_damaged.png,white_fill,255,255,255,8436,2.4464,1.4303,ok,,outputs/tmp/lama_batch_full/input/p002_scratch_thin.png,outputs/tmp/lama_batch_full/mask/p002_scratch_thin.png,outputs/tmp/lama_batch_full/output/p002_scratch_thin.png,lama,iopaint_lama,model_inference,p002_scratch_thin_restored_lama.png,data/processed/restored/lama/p002_scratch_thin_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,50183.65625,20.0655517578125,50163.59069824219,222.0612030029297,2.4319188594818115,219.62928414344788,1.1251806117602,35.10629254506565,33.98111193330545,0.285620242357254,0.0003634991589933,0.2852567431982606,0.889927864074707,0.9995718002319336,0.1096439361572265,0.874204158782959,0.9995041489601136,0.1252999901771545,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p002_scratch_thin_lama_error_maps.png
p003_loss_large,p003,p003_loss_large,loss_large,p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,p003_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_loss_large_mask.png,p003_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_loss_large_damaged.png,white_fill,255,255,255,48196,10.2207,8.1713,ok,,outputs/tmp/lama_batch_full/input/p003_loss_large.png,outputs/tmp/lama_batch_full/mask/p003_loss_large.png,outputs/tmp/lama_batch_full/output/p003_loss_large.png,lama,iopaint_lama,model_inference,p003_loss_large_restored_lama.png,data/processed/restored/lama/p003_loss_large_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,32118.875,415.78509521484375,31703.08990478516,175.64566040039062,11.717487335205078,163.92817306518555,3.0632003565132297,21.942114438906582,18.87891408239336,0.5375250577926636,0.1565399914979934,0.3809850662946701,0.8102954626083374,0.9411243200302124,0.130828857421875,0.8174824714660645,0.937654674053192,0.1201722025871276,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p003_loss_large_lama_error_maps.png
p003_loss_small,p003,p003_loss_small,loss_small,p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,p003_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_loss_small_mask.png,p003_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_loss_small_damaged.png,white_fill,255,255,255,20912,4.4347,3.5455,ok,,outputs/tmp/lama_batch_full/input/p003_loss_small.png,outputs/tmp/lama_batch_full/mask/p003_loss_small.png,outputs/tmp/lama_batch_full/output/p003_loss_small.png,lama,iopaint_lama,model_inference,p003_loss_small_restored_lama.png,data/processed/restored/lama/p003_loss_small_restored_lama.png,cuda,302.6142746992409,768,768,RGB,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,35625.2265625,87.73627471923828,35537.49028778076,185.119873046875,5.647937297821045,179.47193574905396,2.6132272589960537,28.69901170543972,26.08578444644366,0.1557527482509613,0.0024463078007102,0.1533064404502511,0.93482106924057,0.9995825290679932,0.0647614598274231,0.965388000011444,0.9965461492538452,0.0311581492424011,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\lama\all_cases\all_lama_cases\p003_loss_small_lama_error_maps.png
